U10,V10,U100,V100,WINDPOWER
-2.517237664,-2.338739748,-4.95179142,-4.998465051,0.226834946
-2.465483308,-2.509553299,-4.694194337,-5.363855235,0.189621961
-2.385764904,-2.665868087,-4.376420887,-5.704511314,0.183276019
-2.363226717,-3.055975426,-3.822692732,-5.999072016,0.224885076
-2.088177356,-3.310156864,-2.908962096,-5.549361021,0.219330899
-1.23882159,-3.682593836,-1.461034232,-4.850622562,0.18604129
-0.008820881,-3.340966735,0.084020401,-4.210908671,0.341180085
1.225533544,-3.096881262,1.496652132,-3.897696456,0.227756703
1.139741615,-3.009623563,1.347794231,-3.788990644,0.068800889
1.171349168,-3.057317212,1.381854937,-3.843998404,0.074083265
1.071509438,-3.001493963,1.261380959,-3.76999987,0.064688434
0.808614873,-2.964097806,0.935911989,-3.728089195,0.049940322
0.628501993,-2.789040434,0.723347954,-3.528358638,0.026979119
0.272289892,-2.459520673,0.298850635,-3.138065482,0.005116933
-0.318721172,-2.248693063,-0.429670022,-2.98810385,0
-0.801363484,-1.138731765,-1.614225688,-2.680322335,0
-1.813306877,-0.969094125,-3.242201287,-2.893804833,0
-2.236246034,-1.87744136,-4.323313328,-4.388837172,0
-2.505161085,-2.652463165,-4.806470751,-5.928399602,0.056227178
-2.406324769,-3.099591129,-4.52200078,-6.727321833,0.284539299
-2.327556741,-3.7900651,-3.995321343,-7.923085763,0.503031162
-2.228218719,-4.658848284,-3.56830101,-9.18564483,0.594320559
-2.032051209,-5.326017405,-3.14191143,-10.03171657,0.664090474
-1.952781474,-5.632232313,-2.873841059,-10.39647041,0.695749282
-2.492116698,-5.866906748,-3.623807346,-10.53791893,0.963661502
-2.978772668,-6.841374724,-4.366835341,-11.59026977,0.961640727
-2.808192225,-7.80283534,-4.021813004,-12.75918468,0.954573924
-2.65216129,-8.261344744,-3.687513481,-12.95236669,0.963058815
-2.521215715,-8.253757118,-3.404935772,-12.55617985,0.955838385
-2.098276558,-8.236413972,-2.724983158,-11.64069355,0.958580022
-1.406422349,-8.02179255,-1.766868112,-10.93279607,0.934177096
0.668547167,-7.400109235,0.988775611,-9.808767744,0.898949433
2.204495951,-5.829225192,2.829124567,-7.624167777,0.836447218
3.537648155,-4.266690253,4.566441304,-5.531499432,0.728679642
3.903879954,-3.319901784,5.115187482,-4.40220921,0.562141785
4.39418561,-2.590190036,5.843813112,-3.522603098,0.453587171
4.278668571,-2.495845153,5.85405941,-3.523147072,0.443152409
4.233317437,-2.578083834,5.78461228,-3.667300207,0.684510937
4.839995814,0.987401314,7.517944346,1.198004102,0.394322922
2.648594792,7.155719843,3.771214737,10.58971686,0.740619941
0.342532412,3.730499653,0.781003459,6.459865527,0.363609506
0.307449459,2.16045052,0.869235468,5.135288605,0.322733128
0.507678994,1.946295985,1.178901361,4.788777106,0.053970055
1.182384072,2.195934215,2.253624166,4.818695681,0.016095295
-0.180716993,1.799351743,-0.056346778,4.381340509,0.101676889
-0.028833478,1.694987935,-0.128070863,3.188949292,0.132248496
0.743419323,1.615253985,1.329180398,3.824311035,0.016839792
1.197786344,1.589371761,1.939404363,3.209076333,0.000496331
0.712614779,1.122239355,1.450428256,2.553587548,0
0.57827274,1.252067932,1.054807309,2.656398652,0
0.831126704,1.188614737,1.546629609,2.763017575,0
0.550035242,1.613584164,0.740587506,2.45295234,0
0.24027844,1.816467408,0.207780013,2.25494577,0
0.426389225,2.216389521,0.39050566,2.675437746,0
0.340393207,2.596691239,0.253319115,3.110073048,0.019321445
-0.320255137,1.378039789,-0.50194977,1.506794395,0
0.508175342,1.478412002,0.530961171,1.63993044,0.003746115
1.098146618,2.522190934,1.21989328,2.945710164,0.015019912
1.323878014,3.391009127,1.463991574,4.084633797,0
1.454899554,3.996004944,1.611619883,4.913100452,0
1.379655755,4.376774762,1.51320101,5.484015719,0
1.208204712,4.554037615,1.266666606,5.779938195,0.002564375
1.508805559,4.835356066,1.678369316,6.353760362,0.157774075
1.889142372,4.968418312,2.302013658,6.957232915,0.433001264
1.102264438,4.263050282,1.15168218,6.814213408,0.406199407
-0.851828241,3.707319726,-2.042058962,6.220624317,0.37212985
-2.015299515,3.047993995,-3.710794799,5.175302881,0.37839307
-2.301675166,2.518047127,-4.050875854,4.388695594,0.368159204
-2.180761003,2.012042254,-4.01579586,3.752665755,0.315016367
-2.047867726,1.737169726,-3.979741422,3.431743935,0.420994789
-2.116373274,1.648308087,-4.168296391,3.375931445,0.581274152
-2.300926472,1.597201135,-4.49327356,3.306165832,0.51198875
-2.491094878,1.338903834,-4.862587943,2.885828013,0.536415311
-2.81977177,1.064031305,-5.400481188,2.407352183,0.461268479
-3.373805709,0.802511044,-6.266762157,1.916085991,0.342787251
-4.042764257,0.591637312,-6.591739326,1.235871264,0.316564446
-4.098167651,0.538688667,-5.613397265,0.707978125,0.420013945
-4.104905902,0.50231525,-5.314730091,0.545191695,0.453149927
-3.521672876,0.561249394,-4.429447459,0.576586221,0.438673615
-3.238824054,-0.092379219,-3.964413569,-0.286050349,0.313350114
-2.185885674,0.323831357,-2.603216232,0.221419673,0.176126493
-1.396538093,0.773325854,-1.644974301,0.771480211,0.095035511
-0.677718861,1.318794374,-0.782230472,1.45212488,0.036433037
-0.078584099,2.203888139,-0.080668805,2.543406415,0.038713794
0.361327572,2.931610358,0.388436506,3.501693036,0.05857884
0.145111876,3.664179751,0.069798936,4.530695986,0.210396946
-0.363190921,4.208032546,-0.624775064,5.379693734,0.287139126
-0.818419354,3.871638749,-1.502425914,5.441570522,0.281514045
-1.044608756,2.786518317,-2.714553043,5.047005549,0.501388544
-2.91539102,2.997531909,-5.585552082,5.110087729,0.585634772
